6375.000000	-3.21	-24.08
6562.500000	-3.39	-26.34
6750.000000	-3.12	-29.90
6937.500000	-3.05	-34.66
7125.000000	-2.75	-40.04
7312.500000	-2.68	-44.78
7500.000000	-3.29	-54.06
7781.037598	-4.38	-59.63
8062.500000	-5.57	-62.31
8250.000000	-6.77	-58.94
8437.500000	-7.35	-55.52
8733.918945	-7.25	-52.23
9000.000000	-7.08	-50.32
9253.264648	-6.81	-51.55
9562.500000	-6.51	-57.00
9803.492188	-6.85	-61.16
10125.000000	-7.21	-65.33
10386.438477	-7.67	-67.61
10687.500000	-8.11	-69.11
11004.048828	-8.94	-71.02
11326.491211	-9.82	-72.71
11658.382812	-10.85	-72.62
12000.000000	-11.84	-72.86
12351.626953	-12.68	-71.43
12713.557617	-13.42	-69.68
13086.092773	-14.40	-62.92
13469.543945	-15.80	-56.17
13864.232422	-16.68	-42.08
14270.485352	-17.35	-31.61
14688.641602	-18.27	-20.28
15119.052734	-19.06	-12.27
15562.075195	-19.03	-1.29
16018.078125	-19.55	-5.34
16487.445312	-20.38	8.00
16970.562500	-20.08	26.98
17467.837891	-19.55	43.43
17979.685547	-19.15	58.57
18506.529297	-18.17	77.61
19048.812500	-16.49	85.17
19606.984375	-15.05	84.64
20181.513672	-13.19	85.12
20772.876953	-11.37	81.08
21381.568359	-10.18	68.52
22008.097656	-9.94	52.41
22652.982422	-9.77	44.21
23316.765625	-10.06	35.47
24000.000000	-10.69	24.50
