; Smaart Trace Output
; This File Created On Friday April 24, 2009 At 13:17:57
;
; Comment: FreqResp_135deg
;
; Transfer Function Trace
;
; Sample Rate		: 48000
; FFT			: FPPO
; Frequency Resolution	: 24 points per octave
; Y +/-			: 0.0
; Averages		: 32
; Data Window		: Hanning
;
;
; Frequency (Hz)	Magnitude (dB)	Phase (degrees)
11.718750	-16.58	-151.35
13.183594	-18.84	164.88
14.648438	-20.00	-178.46
16.113281	-21.60	-176.20
17.578125	-22.15	133.60
19.042969	-23.85	121.68
20.507812	-24.99	43.50
21.972656	-25.92	15.34
23.437500	-25.93	-27.02
24.902344	-26.77	-67.58
26.367188	-26.72	-42.26
27.832031	-26.08	-45.25
29.296875	-25.70	-15.64
30.761719	-24.86	9.06
32.226562	-22.71	12.74
33.691406	-21.38	37.98
35.156250	-19.98	58.70
36.621094	-18.82	37.26
38.085938	-19.77	-2.50
39.550781	-21.52	1.91
41.015625	-23.18	9.60
42.480469	-24.98	-3.12
43.945312	-26.89	8.81
45.410156	-26.90	43.68
46.875000	-26.71	63.26
48.339844	-25.90	55.61
49.804688	-24.96	58.54
51.269531	-23.30	41.35
52.734375	-21.08	18.68
54.199219	-19.26	4.19
55.664062	-18.37	-6.65
57.128906	-17.42	-12.65
58.593750	-16.16	-23.24
60.789356	-15.65	-31.57
62.988281	-14.95	-38.62
64.453125	-13.98	-45.56
65.917969	-13.33	-55.55
68.233742	-12.90	-63.19
70.312500	-12.59	-68.92
72.291130	-12.30	-75.25
74.707031	-11.58	-82.17
76.589783	-10.74	-88.26
79.101562	-9.90	-94.96
81.144051	-8.94	-102.92
83.496094	-7.97	-111.72
85.969131	-7.78	-122.48
88.488213	-7.88	-132.27
91.081116	-8.12	-139.60
93.750000	-8.33	-144.66
96.497086	-8.25	-148.11
99.324669	-7.46	-149.85
102.235100	-6.24	-155.42
105.230812	-5.33	-167.84
108.314316	-5.03	-179.49
111.488167	-5.27	169.22
114.755013	-6.00	162.28
118.117599	-7.00	161.13
121.578712	-7.21	163.06
125.141235	-7.00	161.76
128.808167	-6.62	159.59
132.582520	-6.26	156.13
136.467484	-5.77	151.25
140.466293	-5.57	149.77
144.582260	-5.40	148.21
148.818848	-4.78	147.65
153.179565	-3.56	147.77
157.668076	-1.59	140.64
162.288101	0.19	132.33
167.043503	1.22	116.26
171.938263	1.39	95.85
176.976425	0.11	77.76
182.162231	-2.11	66.86
187.500000	-4.51	58.00
192.994171	-6.46	58.02
198.649338	-9.25	65.41
204.470200	-9.54	73.90
210.461624	-8.59	82.52
216.628632	-6.99	87.00
222.976334	-5.20	87.59
229.510025	-3.15	74.31
236.235199	-4.25	70.50
243.157425	-6.60	72.25
250.282471	-8.66	69.04
257.616333	-10.87	64.69
265.165039	-13.19	71.39
272.934967	-13.35	77.79
280.932587	-12.95	77.59
289.164520	-12.30	90.17
297.637695	-11.35	102.10
306.359131	-9.37	104.89
315.336151	-8.23	100.99
324.576202	-7.50	96.75
334.087006	-7.93	81.59
343.876526	-8.40	75.19
353.952850	-8.61	82.25
364.324463	-8.19	73.58
375.000000	-8.08	63.30
386.718750	-8.37	76.12
398.437500	-7.81	80.66
410.156250	-7.81	78.46
421.875000	-8.50	82.11
433.593750	-9.41	88.81
445.312500	-9.62	84.90
457.031250	-11.30	90.46
468.750000	-12.14	94.81
486.314850	-12.03	104.97
503.906250	-11.40	110.87
515.625000	-11.22	111.03
527.343750	-10.45	105.17
545.869934	-9.82	110.78
562.500000	-9.66	104.14
578.329041	-9.12	102.10
597.656250	-8.62	102.01
612.718262	-7.90	102.11
632.812500	-7.91	91.70
649.152405	-7.92	98.04
667.968750	-8.28	96.58
687.753052	-8.83	95.94
707.905701	-10.30	90.11
728.648926	-10.91	95.92
750.000000	-11.51	86.56
771.976685	-11.84	93.61
794.597351	-11.54	96.71
817.880798	-11.27	101.29
841.846497	-11.57	108.08
866.514526	-12.19	147.52
891.905334	-12.15	-172.42
918.040100	-11.49	-145.35
944.940796	-10.91	-148.65
972.629700	-10.01	-166.23
1001.129883	-9.40	179.85
1030.465332	-10.11	177.12
1060.660156	-10.84	169.29
1091.739868	-10.64	172.98
1123.730347	-11.13	170.35
1156.658081	-10.98	165.26
1190.550781	-10.93	152.24
1225.436523	-11.84	144.49
1261.344604	-12.38	148.47
1298.304810	-12.69	158.09
1336.348022	-12.70	179.62
1375.506104	-12.64	-154.40
1415.811401	-11.84	-128.75
1457.297852	-11.50	-109.79
1500.000000	-10.98	-99.86
1543.953369	-10.72	-104.09
1589.194702	-11.25	-102.41
1635.761597	-11.68	-102.74
1683.692993	-11.54	-111.41
1733.029053	-12.50	-123.25
1783.810669	-13.63	-114.49
1836.080200	-13.35	-117.11
1889.881592	-14.37	-109.65
1945.259399	-15.48	-86.96
2002.259766	-15.22	-66.45
2060.930664	-14.89	-62.00
2121.320312	-15.19	-48.59
2183.479736	-15.00	-57.06
2247.460693	-15.14	-47.51
2313.316162	-15.43	-37.44
2381.101562	-16.27	-39.08
2450.873047	-17.08	-36.25
2522.689209	-17.53	-34.10
2596.609619	-17.27	-36.58
2672.696045	-17.04	-44.85
2751.012207	-16.81	-44.44
2831.622803	-16.15	-51.73
2914.595703	-15.67	-41.73
3000.000000	-16.29	-50.20
3093.750000	-16.68	-42.65
3187.500000	-16.71	-36.13
3281.250000	-16.08	-31.86
3375.000000	-16.00	-53.75
3468.750000	-15.81	-48.65
3562.500000	-16.16	-46.03
3656.250000	-16.18	-32.69
3750.000000	-16.92	-12.08
3890.518799	-16.89	17.59
4031.250000	-16.65	30.91
4125.000000	-16.08	56.68
4218.750000	-15.72	92.04
4366.959473	-15.37	117.32
4500.000000	-15.94	120.53
4626.632324	-16.64	145.87
4781.250000	-17.54	153.24
4901.746094	-18.55	179.40
5062.500000	-19.72	-176.01
5193.219238	-20.14	-135.52
5343.750000	-20.40	-71.03
5502.024414	-20.44	20.27
5663.245605	-20.01	36.49
5829.191406	-19.45	36.27
6000.000000	-18.89	59.41
6187.500000	-17.99	60.30
6375.000000	-17.36	86.17
6562.500000	-17.67	-171.34
6750.000000	-18.56	-128.29
6937.500000	-19.15	-101.54
7125.000000	-20.32	-107.35
7312.500000	-21.32	-80.52
7500.000000	-22.09	-23.87
7781.037598	-22.61	22.05
8062.500000	-23.63	50.99
8250.000000	-23.74	88.18
8437.500000	-23.79	-141.24
8733.918945	-23.84	-126.55
9000.000000	-23.61	-99.33
9253.264648	-23.30	-59.65
9562.500000	-23.58	-40.93
9803.492188	-23.67	14.62
10125.000000	-23.52	138.34
10386.438477	-23.52	-162.25
10687.500000	-23.79	-157.57
11004.048828	-24.02	-97.25
11326.491211	-24.91	-31.66
11658.382812	-25.83	28.30
12000.000000	-26.92	53.49
12351.626953	-27.46	51.24
12713.557617	-28.19	94.99
13086.092773	-28.00	82.62
13469.543945	-28.63	36.53
13864.232422	-28.17	9.74
14270.485352	-28.41	63.51
14688.641602	-28.74	18.04
15119.052734	-29.61	168.85
15562.075195	-29.95	169.68
16018.078125	-30.59	168.27
16487.445312	-31.18	174.87
16970.562500	-31.62	147.16
17467.837891	-31.62	107.19
17979.685547	-31.67	78.87
18506.529297	-32.14	84.09
19048.812500	-32.25	87.75
19606.984375	-32.54	163.15
20181.513672	-33.11	-167.49
20772.876953	-33.57	-124.79
21381.568359	-34.33	-64.37
22008.097656	-34.84	-43.69
22652.982422	-35.13	-27.18
23316.765625	-35.77	-41.36
24000.000000	-36.04	-52.20
