; Smaart Trace Output
; This File Created On Friday April 24, 2009 At 13:18:22
;
; Comment: FreqResp_45deg
;
; Transfer Function Trace
;
; Sample Rate		: 48000
; FFT			: FPPO
; Frequency Resolution	: 24 points per octave
; Y +/-			: 0.0
; Averages		: 32
; Data Window		: Hanning
;
;
; Frequency (Hz)	Magnitude (dB)	Phase (degrees)
11.718750	-23.42	86.36
13.183594	-24.30	130.57
14.648438	-25.58	172.64
16.113281	-26.13	-144.07
17.578125	-26.42	-99.92
19.042969	-28.16	-84.59
20.507812	-28.43	-60.49
21.972656	-26.71	-33.96
23.437500	-26.21	-5.36
24.902344	-25.49	13.22
26.367188	-23.61	20.69
27.832031	-24.76	21.87
29.296875	-27.27	-16.49
30.761719	-27.02	-34.33
32.226562	-26.85	-33.28
33.691406	-25.82	-0.70
35.156250	-23.26	52.04
36.621094	-21.88	45.65
38.085938	-22.14	59.39
39.550781	-23.01	63.31
41.015625	-24.36	59.47
42.480469	-24.91	51.88
43.945312	-24.12	57.21
45.410156	-23.24	53.16
46.875000	-21.24	45.65
48.339844	-19.48	41.84
49.804688	-17.86	34.07
51.269531	-16.10	24.10
52.734375	-14.36	11.66
54.199219	-13.09	1.75
55.664062	-11.98	-7.78
57.128906	-10.73	-10.77
58.593750	-9.56	-20.23
60.789356	-8.33	-30.35
62.988281	-7.25	-41.15
64.453125	-6.36	-52.66
65.917969	-5.76	-69.07
68.233742	-5.39	-80.12
70.312500	-4.95	-89.23
72.291130	-4.54	-98.33
74.707031	-4.00	-107.44
76.589783	-3.50	-116.03
79.101562	-2.93	-123.07
81.144051	-2.49	-131.13
83.496094	-2.07	-141.58
85.969131	-1.90	-152.16
88.488213	-2.05	-161.33
91.081116	-2.33	-169.56
93.750000	-2.54	-175.20
96.497086	-2.66	-176.97
99.324669	-2.50	-178.64
102.235100	-2.05	174.85
105.230812	-1.79	166.30
108.314316	-1.78	158.72
111.488167	-1.79	152.18
114.755013	-1.86	146.74
118.117599	-1.82	145.73
121.578712	-1.41	145.18
125.141235	-0.94	141.91
128.808167	-0.37	134.45
132.582520	-0.00	126.25
136.467484	-0.26	119.14
140.466293	-0.60	114.80
144.582260	-0.77	111.35
148.818848	-0.77	109.28
153.179565	-0.31	109.71
157.668076	0.97	102.76
162.288101	2.31	93.00
167.043503	1.69	84.38
171.938263	0.48	77.03
176.976425	-0.56	71.95
182.162231	-1.88	72.46
187.500000	-3.46	76.09
192.994171	-2.86	78.21
198.649338	-2.15	79.47
204.470200	-1.83	76.17
210.461624	-1.18	72.44
216.628632	-0.88	64.71
222.976334	-1.53	59.03
229.510025	-1.72	58.81
236.235199	-1.77	58.27
243.157425	-2.65	59.44
250.282471	-2.97	62.85
257.616333	-2.21	64.90
265.165039	-1.82	59.84
272.934967	-1.94	55.73
280.932587	-2.01	51.73
289.164520	-1.91	51.50
297.637695	-2.15	50.59
306.359131	-2.17	52.23
315.336151	-2.06	52.13
324.576202	-1.62	49.76
334.087006	-0.85	43.31
343.876526	-0.25	37.38
353.952850	-0.47	30.58
364.324463	-0.62	26.05
375.000000	-1.08	25.85
386.718750	-1.80	26.32
398.437500	-2.50	26.52
410.156250	-2.42	27.77
421.875000	-2.35	27.40
433.593750	-1.96	25.35
445.312500	-2.34	22.07
457.031250	-2.32	18.82
468.750000	-2.01	16.74
486.314850	-1.72	15.09
503.906250	-1.59	11.19
515.625000	-1.35	9.84
527.343750	-1.42	10.50
545.869934	-1.82	10.60
562.500000	-2.09	10.14
578.329041	-1.93	9.63
597.656250	-1.34	7.38
612.718262	-0.90	18.17
632.812500	-0.94	13.38
649.152405	-0.71	11.70
667.968750	-1.06	12.90
687.753052	-1.70	11.98
707.905701	-2.33	-3.53
728.648926	-2.68	-1.32
750.000000	-2.98	0.02
771.976685	-3.30	-0.94
794.597351	-3.30	0.92
817.880798	-3.20	2.14
841.846497	-2.95	1.42
866.514526	-3.36	-1.18
891.905334	-3.42	0.29
918.040100	-3.30	-1.68
944.940796	-2.85	-3.19
972.629700	-2.68	-5.14
1001.129883	-2.41	-6.69
1030.465332	-2.29	-12.69
1060.660156	-2.46	-15.39
1091.739868	-3.35	-17.49
1123.730347	-3.98	-20.13
1156.658081	-3.99	-19.54
1190.550781	-4.13	-19.64
1225.436523	-4.18	-20.44
1261.344604	-3.93	-21.54
1298.304810	-4.03	-22.65
1336.348022	-4.42	-21.63
1375.506104	-4.44	-18.10
1415.811401	-4.52	-14.60
1457.297852	-4.31	-12.86
1500.000000	-3.63	-11.12
1543.953369	-2.85	-15.09
1589.194702	-2.33	-18.71
1635.761597	-1.82	-24.63
1683.692993	-1.76	-28.82
1733.029053	-1.90	-36.03
1783.810669	-2.54	-39.99
1836.080200	-3.05	-43.46
1889.881592	-3.50	-45.58
1945.259399	-3.70	-48.84
2002.259766	-4.18	-50.56
2060.930664	-4.28	-55.74
2121.320312	-4.31	-63.82
2183.479736	-4.59	-71.33
2247.460693	-5.21	-79.82
2313.316162	-5.21	-88.49
2381.101562	-5.41	-95.87
2450.873047	-6.27	-104.88
2522.689209	-7.05	-114.38
2596.609619	-7.68	-133.22
2672.696045	-8.88	-147.31
2751.012207	-9.73	-163.70
2831.622803	-9.82	177.58
2914.595703	-9.74	153.60
3000.000000	-9.80	149.13
3093.750000	-9.28	130.11
3187.500000	-9.11	115.20
3281.250000	-8.98	103.81
3375.000000	-8.88	100.96
3468.750000	-8.15	92.70
3562.500000	-7.61	86.14
3656.250000	-6.93	78.28
3750.000000	-6.55	71.50
3890.518799	-6.18	61.73
4031.250000	-5.88	54.41
4125.000000	-5.65	44.56
4218.750000	-5.56	34.23
4366.959473	-5.70	25.79
4500.000000	-6.36	16.45
4626.632324	-7.69	11.80
4781.250000	-9.04	11.31
4901.746094	-10.26	16.81
5062.500000	-10.67	27.31
5193.219238	-10.67	37.54
5343.750000	-9.58	40.69
5502.024414	-8.39	42.59
5663.245605	-7.25	38.85
5829.191406	-6.72	31.02
6000.000000	-6.15	23.29
6187.500000	-6.39	18.80
6375.000000	-6.79	14.69
6562.500000	-7.17	12.35
6750.000000	-7.49	8.50
6937.500000	-7.80	7.64
7125.000000	-7.94	6.58
7312.500000	-8.11	4.09
7500.000000	-8.53	1.07
7781.037598	-8.92	-1.52
8062.500000	-9.50	-3.52
8250.000000	-10.12	-3.10
8437.500000	-10.36	1.30
8733.918945	-10.10	5.47
9000.000000	-9.77	6.19
9253.264648	-9.40	5.45
9562.500000	-9.21	-2.41
9803.492188	-10.01	-7.37
10125.000000	-11.09	-11.32
10386.438477	-12.13	-9.88
10687.500000	-12.85	-8.56
11004.048828	-13.35	-4.62
11326.491211	-13.16	-4.94
11658.382812	-13.27	-7.07
12000.000000	-14.12	-10.37
12351.626953	-16.04	-13.40
12713.557617	-17.86	-13.41
13086.092773	-19.83	-13.62
13469.543945	-21.50	-13.99
13864.232422	-22.78	-28.64
14270.485352	-23.26	-15.18
14688.641602	-24.59	14.20
15119.052734	-25.35	154.71
15562.075195	-25.30	169.28
16018.078125	-24.94	152.50
16487.445312	-24.41	167.13
16970.562500	-22.97	-175.62
17467.837891	-21.68	-179.77
17979.685547	-20.98	176.41
18506.529297	-20.63	173.60
19048.812500	-20.43	173.28
19606.984375	-20.22	165.43
20181.513672	-20.08	158.02
20772.876953	-21.07	146.06
21381.568359	-22.32	126.88
22008.097656	-22.38	98.70
22652.982422	-22.88	64.54
23316.765625	-24.14	30.04
24000.000000	-24.25	-3.92
