; Smaart Trace Output
; This File Created On Friday April 24, 2009 At 13:17:38
;
; Comment: FreqResp_225deg
;
; Transfer Function Trace
;
; Sample Rate		: 48000
; FFT			: FPPO
; Frequency Resolution	: 24 points per octave
; Y +/-			: 0.0
; Averages		: 32
; Data Window		: Hanning
;
;
; Frequency (Hz)	Magnitude (dB)	Phase (degrees)
11.718750	-18.54	-134.90
13.183594	-17.56	146.11
14.648438	-19.55	45.19
16.113281	-21.14	126.44
17.578125	-22.47	131.85
19.042969	-23.86	108.73
20.507812	-24.91	118.32
21.972656	-24.82	146.60
23.437500	-24.98	-36.32
24.902344	-24.53	-74.06
26.367188	-23.28	-85.70
27.832031	-23.42	-87.87
29.296875	-23.59	-104.72
30.761719	-21.47	-122.95
32.226562	-19.00	-126.90
33.691406	-18.52	-125.67
35.156250	-17.75	-136.16
36.621094	-15.87	-128.26
38.085938	-14.87	-128.01
39.550781	-16.58	-128.38
41.015625	-16.98	-86.18
42.480469	-17.99	-27.29
43.945312	-21.26	68.21
45.410156	-25.21	84.54
46.875000	-26.20	39.02
48.339844	-27.04	54.25
49.804688	-26.67	58.23
51.269531	-24.76	40.19
52.734375	-21.95	21.37
54.199219	-20.50	11.92
55.664062	-19.56	0.19
57.128906	-18.42	-10.50
58.593750	-16.69	-25.47
60.789356	-15.87	-34.11
62.988281	-14.38	-45.26
64.453125	-13.22	-55.77
65.917969	-12.01	-66.93
68.233742	-11.41	-73.64
70.312500	-10.68	-87.05
72.291130	-10.37	-98.40
74.707031	-10.08	-108.08
76.589783	-9.53	-114.20
79.101562	-9.19	-122.75
81.144051	-8.64	-127.98
83.496094	-7.65	-137.92
85.969131	-6.82	-151.74
88.488213	-7.24	-169.85
91.081116	-7.75	175.76
93.750000	-8.74	167.34
96.497086	-9.70	165.88
99.324669	-10.10	165.66
102.235100	-9.90	168.92
105.230812	-9.15	164.63
108.314316	-8.22	156.30
111.488167	-7.99	142.91
114.755013	-8.27	130.93
118.117599	-9.06	123.65
121.578712	-10.08	123.62
125.141235	-10.81	125.03
128.808167	-10.81	130.43
132.582520	-10.43	127.64
136.467484	-10.10	121.72
140.466293	-9.33	124.76
144.582260	-8.66	124.36
148.818848	-8.12	119.69
153.179565	-6.92	127.76
157.668076	-4.65	130.43
162.288101	-2.37	115.83
167.043503	-1.25	97.86
171.938263	-0.78	78.86
176.976425	-1.93	52.46
182.162231	-4.51	33.77
187.500000	-8.26	22.77
192.994171	-11.18	32.65
198.649338	-12.24	48.43
204.470200	-11.58	84.41
210.461624	-9.71	99.98
216.628632	-7.08	104.85
222.976334	-5.46	91.39
229.510025	-5.47	73.02
236.235199	-6.21	60.51
243.157425	-7.41	54.29
250.282471	-7.92	58.66
257.616333	-6.53	59.54
265.165039	-4.62	51.03
272.934967	-3.14	40.85
280.932587	-2.22	29.96
289.164520	-2.01	14.38
297.637695	-3.59	5.59
306.359131	-5.29	6.71
315.336151	-6.18	11.00
324.576202	-6.01	12.60
334.087006	-5.94	9.89
343.876526	-5.30	4.57
353.952850	-5.13	-7.82
364.324463	-5.61	-22.51
375.000000	-7.33	-42.36
386.718750	-8.98	-43.62
398.437500	-10.19	-59.81
410.156250	-10.89	-53.46
421.875000	-11.85	-38.30
433.593750	-12.04	-19.97
445.312500	-12.41	-31.54
457.031250	-11.88	-16.45
468.750000	-11.60	-8.62
486.314850	-11.25	0.88
503.906250	-10.90	8.94
515.625000	-10.99	16.50
527.343750	-11.29	9.21
545.869934	-11.09	4.65
562.500000	-10.52	1.50
578.329041	-9.51	-3.88
597.656250	-8.06	-11.73
612.718262	-8.10	-24.66
632.812500	-8.90	-34.59
649.152405	-8.62	-52.30
667.968750	-8.00	-50.77
687.753052	-8.24	-67.10
707.905701	-9.12	-66.11
728.648926	-9.31	-68.48
750.000000	-10.02	-47.28
771.976685	-11.58	-35.91
794.597351	-11.59	-21.32
817.880798	-9.52	-9.98
841.846497	-8.08	-6.82
866.514526	-7.25	-15.85
891.905334	-6.94	-34.19
918.040100	-7.33	-46.10
944.940796	-9.03	-69.92
972.629700	-11.01	-61.54
1001.129883	-12.50	-62.83
1030.465332	-12.80	-57.59
1060.660156	-13.14	-40.20
1091.739868	-12.47	-27.56
1123.730347	-11.47	-42.08
1156.658081	-11.17	-46.15
1190.550781	-11.79	-50.70
1225.436523	-11.92	-53.77
1261.344604	-12.67	-54.85
1298.304810	-12.90	-45.84
1336.348022	-12.48	-41.83
1375.506104	-12.11	-40.53
1415.811401	-12.07	-41.25
1457.297852	-12.00	-34.92
1500.000000	-11.70	-40.80
1543.953369	-11.68	-43.69
1589.194702	-11.91	-48.32
1635.761597	-12.42	-56.44
1683.692993	-12.72	-72.60
1733.029053	-14.10	-96.59
1783.810669	-15.44	-111.45
1836.080200	-15.69	-114.35
1889.881592	-15.27	-110.07
1945.259399	-14.84	-111.44
2002.259766	-15.10	-115.72
2060.930664	-15.10	-110.94
2121.320312	-15.04	-114.70
2183.479736	-15.49	-122.94
2247.460693	-17.08	-144.44
2313.316162	-16.51	-114.59
2381.101562	-16.44	-119.34
2450.873047	-16.90	-141.35
2522.689209	-17.93	-167.56
2596.609619	-16.76	-137.38
2672.696045	-16.68	-175.22
2751.012207	-17.00	136.49
2831.622803	-17.46	111.29
2914.595703	-17.11	139.76
3000.000000	-17.14	115.94
3093.750000	-17.18	84.29
3187.500000	-16.66	113.97
3281.250000	-15.78	103.81
3375.000000	-15.24	76.77
3468.750000	-15.77	68.92
3562.500000	-15.70	71.51
3656.250000	-15.50	43.42
3750.000000	-16.06	25.35
3890.518799	-16.17	4.54
4031.250000	-15.51	-2.81
4125.000000	-15.32	-14.85
4218.750000	-15.42	-28.88
4366.959473	-15.72	-24.75
4500.000000	-16.07	-16.09
4626.632324	-17.36	-14.77
4781.250000	-17.74	-19.22
4901.746094	-18.43	-3.95
5062.500000	-18.72	-8.80
5193.219238	-19.16	-8.67
5343.750000	-18.42	-5.07
5502.024414	-18.39	2.10
5663.245605	-18.45	2.17
5829.191406	-18.00	-13.10
6000.000000	-17.57	6.93
6187.500000	-17.79	13.55
6375.000000	-17.94	29.22
6562.500000	-17.68	44.03
6750.000000	-17.73	50.79
6937.500000	-17.97	40.61
7125.000000	-18.42	22.70
7312.500000	-19.50	16.36
7500.000000	-19.90	4.84
7781.037598	-20.11	2.24
8062.500000	-20.55	12.63
8250.000000	-20.70	8.47
8437.500000	-20.07	19.08
8733.918945	-20.51	16.35
9000.000000	-21.87	4.02
9253.264648	-22.50	-1.35
9562.500000	-23.10	19.44
9803.492188	-24.02	8.63
10125.000000	-24.04	1.78
10386.438477	-23.61	-20.38
10687.500000	-23.30	-13.77
11004.048828	-23.19	-31.34
11326.491211	-23.34	-42.93
11658.382812	-24.12	-10.51
12000.000000	-24.02	-10.27
12351.626953	-24.76	-21.84
12713.557617	-25.05	-7.74
13086.092773	-25.38	-11.19
13469.543945	-26.02	-46.40
13864.232422	-27.91	-3.95
14270.485352	-29.41	21.92
14688.641602	-30.88	-0.22
15119.052734	-32.06	20.77
15562.075195	-32.25	37.76
16018.078125	-32.16	22.84
16487.445312	-31.98	-2.30
16970.562500	-31.93	-5.76
17467.837891	-32.34	-30.72
17979.685547	-33.60	-57.73
18506.529297	-34.20	-60.34
19048.812500	-34.52	-43.07
19606.984375	-34.94	-54.65
20181.513672	-34.85	-45.49
20772.876953	-34.30	-32.87
21381.568359	-34.43	-40.04
22008.097656	-34.86	-59.79
22652.982422	-35.00	-59.99
23316.765625	-35.38	-78.45
24000.000000	-36.34	-108.79
